Date,Main_x,Start,End,InBed hrs,Asleep hrs,Awake,REM hrs,Light hrs,Deep hrs,Wake Count,Efficiency,Fall Asleep,Data Source,Main_y,Start_Nap,End_Nap,Asleep_Nap,Data Source Nap,Overnight HRV,Baseline,7d Avg,Stress,RHR,Stress_sleep
2025-12-14,True,22:50,06:07,7.28,6.38,54,1.2,4.32,0.86,3.0,88%,9.0,Synthetic,,,,,,43.0,38ms - 48ms,54.0,35.0,54.0,24.0
2025-12-15,True,23:00,06:27,7.46,6.68,47,1.26,4.17,1.25,5.0,90%,3.0,Synthetic,,,,,,39.0,34ms - 44ms,48.0,36.0,59.0,21.0
2025-12-16,True,23:17,06:56,7.65,7.15,30,1.51,4.47,1.17,3.0,93%,21.0,Synthetic,,,,,,51.0,46ms - 56ms,45.0,28.0,51.0,12.0
2025-12-17,True,23:50,07:53,8.05,7.58,28,1.62,4.52,1.44,0.0,94%,2.0,Synthetic,False,13:12,13:41,29.0,Synthetic,51.0,46ms - 56ms,45.0,28.0,50.0,13.0
2025-12-18,True,23:26,07:21,7.92,7.28,38,1.57,4.46,1.25,1.0,92%,38.0,Synthetic,,,,,,56.0,51ms - 61ms,47.0,27.0,52.0,15.0
2025-12-19,True,23:34,07:14,7.68,7.01,40,1.52,4.43,1.07,5.0,91%,7.0,Synthetic,False,13:46,14:06,20.0,Synthetic,49.0,44ms - 54ms,47.0,30.0,57.0,18.0
2025-12-20,True,23:51,06:37,6.78,5.86,55,0.87,4.36,0.63,3.0,86%,6.0,Synthetic,,,,,,38.0,33ms - 43ms,47.0,47.0,59.0,15.0
2025-12-21,True,23:20,06:54,7.56,6.66,54,1.02,4.68,0.96,3.0,88%,7.0,Synthetic,,,,,,33.0,28ms - 38ms,45.0,32.0,61.0,14.0
2025-12-22,True,22:59,06:52,7.89,7.22,40,1.19,5.11,0.92,1.0,92%,43.0,Synthetic,,,,,,41.0,36ms - 46ms,46.0,34.0,56.0,15.0
2025-12-23,True,23:35,07:07,7.53,6.93,36,1.57,4.02,1.34,1.0,92%,8.0,Synthetic,,,,,,53.0,48ms - 58ms,46.0,23.0,53.0,8.0
2025-12-24,True,23:38,07:39,8.02,6.94,65,1.7,3.83,1.41,0.0,86%,14.0,Synthetic,,,,,,59.0,54ms - 64ms,47.0,25.0,52.0,10.0
2025-12-25,True,23:23,07:43,8.34,8.25,5,1.83,4.99,1.43,0.0,99%,2.0,Synthetic,False,12:55,13:29,34.0,Synthetic,66.0,61ms - 71ms,48.0,17.0,49.0,13.0
2025-12-26,True,22:09,05:56,7.79,7.2,35,1.19,4.72,1.3,2.0,93%,33.0,Synthetic,False,12:32,12:56,24.0,Synthetic,59.0,54ms - 64ms,50.0,25.0,51.0,12.0
2025-12-27,True,22:31,06:28,7.95,7.4,33,1.21,5.09,1.1,3.0,93%,39.0,Synthetic,False,12:46,13:10,24.0,Synthetic,44.0,39ms - 49ms,51.0,29.0,56.0,17.0
2025-12-28,True,22:50,06:03,7.21,6.29,55,1.06,4.34,0.89,1.0,87%,1.0,Synthetic,False,13:15,13:45,30.0,Synthetic,31.0,26ms - 36ms,50.0,26.0,59.0,14.0
2025-12-29,True,23:27,07:21,7.89,7.04,51,1.21,4.68,1.15,0.0,89%,7.0,Synthetic,,,,,,33.0,28ms - 38ms,49.0,35.0,63.0,17.0
2025-12-30,True,22:59,07:06,8.11,7.5,37,1.6,4.55,1.34,1.0,92%,3.0,Synthetic,,,,,,63.0,58ms - 68ms,51.0,16.0,53.0,14.0
2025-12-31,True,23:40,07:39,7.98,7.13,51,1.48,4.25,1.4,0.0,89%,68.0,Synthetic,,,,,,49.0,44ms - 54ms,49.0,18.0,56.0,17.0
2026-01-01,True,23:46,08:21,8.59,8.07,31,1.73,4.97,1.37,3.0,94%,4.0,Synthetic,,,,,,53.0,48ms - 58ms,47.0,23.0,59.0,9.0
2026-01-02,True,23:42,07:20,7.64,6.77,52,1.54,3.99,1.24,2.0,89%,25.0,Synthetic,False,13:59,14:21,22.0,Synthetic,56.0,51ms - 61ms,47.0,31.0,56.0,16.0
2026-01-03,True,23:42,06:43,7.01,6.93,5,1.42,4.27,1.24,1.0,99%,28.0,Synthetic,,,,,,61.0,56ms - 66ms,49.0,25.0,52.0,21.0
2026-01-04,True,22:24,06:24,8.01,7.22,47,1.47,4.36,1.39,3.0,90%,48.0,Synthetic,,,,,,57.0,52ms - 62ms,53.0,25.0,52.0,12.0
2026-01-05,True,23:17,07:21,8.07,7.47,36,1.69,4.53,1.25,1.0,93%,8.0,Synthetic,,,,,,54.0,49ms - 59ms,56.0,14.0,49.0,10.0
2026-01-06,True,22:39,05:54,7.26,6.5,46,1.16,4.22,1.12,1.0,89%,2.0,Synthetic,,,,,,53.0,48ms - 58ms,55.0,18.0,51.0,13.0
2026-01-07,True,22:02,05:38,7.6,7.2,24,1.52,4.51,1.17,1.0,95%,2.0,Synthetic,False,15:21,15:55,34.0,Synthetic,50.0,45ms - 55ms,55.0,38.0,53.0,16.0
2026-01-08,True,22:50,06:08,7.3,6.9,24,1.48,4.34,1.08,2.0,95%,17.0,Synthetic,,,,,,59.0,54ms - 64ms,56.0,20.0,54.0,13.0
2026-01-09,True,23:46,07:55,8.14,7.47,40,1.51,4.64,1.32,0.0,92%,22.0,Synthetic,,,,,,51.0,46ms - 56ms,55.0,31.0,54.0,15.0
2026-01-10,True,23:16,05:30,6.24,5.44,48,1.26,3.26,0.92,1.0,87%,9.0,Synthetic,,,,,,45.0,40ms - 50ms,53.0,30.0,58.0,12.0
2026-01-11,True,00:11,06:59,6.8,5.83,58,0.94,3.98,0.92,2.0,86%,18.0,Synthetic,False,14:46,15:16,30.0,Synthetic,42.0,37ms - 47ms,51.0,38.0,62.0,17.0
2026-01-12,True,23:06,05:52,6.77,5.77,60,1.4,3.29,1.08,2.0,85%,14.0,Synthetic,False,14:27,14:46,19.0,Synthetic,38.0,33ms - 43ms,48.0,30.0,59.0,18.0
2026-01-13,True,00:26,07:32,7.1,6.95,9,1.48,4.07,1.4,1.0,98%,10.0,Synthetic,,,,,,59.0,54ms - 64ms,49.0,26.0,51.0,12.0
2026-01-14,True,23:06,07:14,8.13,7.43,42,1.43,4.74,1.26,1.0,91%,20.0,Synthetic,,,,,,54.0,49ms - 59ms,50.0,24.0,50.0,10.0
2026-01-15,True,23:01,06:41,7.68,7.13,33,1.53,4.31,1.28,3.0,93%,2.0,Synthetic,,,,,,44.0,39ms - 49ms,48.0,22.0,55.0,13.0
2026-01-16,True,22:15,05:54,7.64,7.17,28,1.39,4.6,1.18,1.0,94%,4.0,Synthetic,,,,,,47.0,42ms - 52ms,47.0,18.0,54.0,13.0
2026-01-17,True,23:39,07:24,7.76,7.67,5,1.68,4.55,1.44,0.0,99%,22.0,Synthetic,,,,,,58.0,53ms - 63ms,49.0,19.0,44.0,13.0
2026-01-18,True,22:42,06:55,8.21,7.73,29,1.83,4.54,1.35,0.0,94%,75.0,Synthetic,,,,,,63.0,58ms - 68ms,52.0,13.0,48.0,10.0
2026-01-19,True,22:37,05:34,6.94,6.86,5,1.58,3.88,1.4,1.0,99%,19.0,Synthetic,,,,,,56.0,51ms - 61ms,54.0,25.0,52.0,14.0
2026-01-20,True,23:45,08:15,8.5,8.0,30,1.76,4.71,1.53,1.0,94%,10.0,Synthetic,,,,,,62.0,57ms - 67ms,55.0,32.0,51.0,8.0
2026-01-21,True,23:41,07:44,8.06,7.98,5,1.99,4.53,1.46,2.0,99%,27.0,Synthetic,,,,,,69.0,64ms - 74ms,57.0,25.0,51.0,12.0
2026-01-22,True,23:40,08:10,8.51,8.28,14,2.22,4.29,1.78,0.0,97%,78.0,Synthetic,,,,,,63.0,58ms - 68ms,60.0,17.0,46.0,8.0
2026-01-23,True,22:47,07:12,8.41,8.13,17,2.15,4.68,1.29,0.0,97%,7.0,Synthetic,,,,,,65.0,60ms - 70ms,62.0,16.0,49.0,12.0
2026-01-24,True,22:58,07:04,8.1,7.3,48,1.63,4.66,1.01,1.0,90%,7.0,Synthetic,,,,,,54.0,49ms - 59ms,62.0,16.0,53.0,16.0
2026-01-25,True,22:58,07:13,8.26,7.52,44,1.65,4.6,1.27,3.0,91%,0.0,Synthetic,,,,,,41.0,36ms - 46ms,59.0,26.0,55.0,20.0
2026-01-26,True,23:27,07:09,7.7,7.36,20,1.35,4.7,1.32,2.0,96%,9.0,Synthetic,,,,,,57.0,52ms - 62ms,59.0,29.0,50.0,11.0
2026-01-27,True,23:54,07:55,8.02,7.85,10,1.85,4.44,1.56,1.0,98%,2.0,Synthetic,,,,,,60.0,55ms - 65ms,58.0,11.0,47.0,9.0
2026-01-28,True,23:13,07:10,7.95,7.31,38,1.55,4.57,1.19,2.0,92%,43.0,Synthetic,,,,,,67.0,62ms - 72ms,58.0,15.0,49.0,14.0
2026-01-29,True,00:09,07:37,7.47,6.87,36,1.52,4.14,1.21,1.0,92%,55.0,Synthetic,,,,,,53.0,48ms - 58ms,57.0,22.0,47.0,10.0
2026-01-30,True,23:31,07:02,7.51,7.28,14,1.64,4.02,1.62,0.0,97%,3.0,Synthetic,,,,,,72.0,67ms - 77ms,58.0,11.0,47.0,6.0
2026-01-31,True,22:52,06:09,7.28,6.78,30,1.42,4.1,1.27,1.0,93%,76.0,Synthetic,,,,,,53.0,48ms - 58ms,58.0,19.0,53.0,14.0
2026-02-01,True,23:29,06:38,7.16,6.77,23,1.63,4.02,1.12,2.0,95%,13.0,Synthetic,,,,,,51.0,46ms - 56ms,59.0,29.0,54.0,18.0
2026-02-02,True,00:00,07:57,7.95,7.3,39,1.52,4.58,1.2,1.0,92%,0.0,Synthetic,,,,,,53.0,48ms - 58ms,58.0,21.0,52.0,10.0
2026-02-03,True,00:10,07:27,7.28,7.0,17,1.5,4.38,1.12,0.0,96%,49.0,Synthetic,,,,,,50.0,45ms - 55ms,57.0,24.0,55.0,15.0
2026-02-04,True,23:42,07:08,7.43,6.67,46,1.34,4.46,0.86,2.0,90%,9.0,Synthetic,False,14:15,14:56,41.0,Synthetic,48.0,43ms - 53ms,54.0,23.0,51.0,14.0
2026-02-05,True,23:01,07:03,8.03,7.38,39,1.53,4.59,1.26,2.0,92%,33.0,Synthetic,,,,,,50.0,45ms - 55ms,54.0,30.0,50.0,6.0
2026-02-06,True,22:52,07:24,8.53,7.48,63,1.58,4.51,1.38,0.0,88%,8.0,Synthetic,,,,,,54.0,49ms - 59ms,51.0,24.0,52.0,13.0
2026-02-07,True,23:20,07:06,7.76,7.61,9,1.83,4.56,1.23,0.0,98%,5.0,Synthetic,,,,,,58.0,53ms - 63ms,52.0,18.0,51.0,9.0
2026-02-08,True,23:59,07:38,7.65,7.25,24,1.81,4.19,1.24,0.0,95%,15.0,Synthetic,,,,,,59.0,54ms - 64ms,53.0,23.0,54.0,10.0
2026-02-09,True,23:15,07:54,8.64,7.91,44,2.07,4.51,1.33,2.0,92%,3.0,Synthetic,,,,,,59.0,54ms - 64ms,54.0,18.0,51.0,16.0
2026-02-10,True,23:16,07:00,7.74,6.77,58,1.37,4.45,0.96,1.0,88%,27.0,Synthetic,,,,,,54.0,49ms - 59ms,55.0,30.0,52.0,12.0
2026-02-11,True,23:02,05:43,6.69,6.14,33,1.31,3.83,1.0,3.0,92%,32.0,Synthetic,,,,,,47.0,42ms - 52ms,54.0,32.0,55.0,13.0
2026-02-12,True,22:49,06:10,7.36,6.52,50,1.07,4.69,0.76,3.0,89%,5.0,Synthetic,,,,,,49.0,44ms - 54ms,54.0,36.0,58.0,8.0
2026-02-13,True,22:54,06:10,7.26,6.36,54,1.12,4.23,1.01,1.0,88%,25.0,Synthetic,,,,,,37.0,32ms - 42ms,52.0,36.0,60.0,18.0
2026-02-14,True,23:05,05:49,6.73,5.75,59,1.15,3.68,0.92,5.0,85%,22.0,Synthetic,,,,,,38.0,33ms - 43ms,49.0,38.0,61.0,19.0
2026-02-15,True,00:00,07:08,7.12,6.39,44,1.29,4.19,0.92,2.0,90%,58.0,Synthetic,,,,,,34.0,29ms - 39ms,45.0,32.0,56.0,18.0
2026-02-16,True,22:52,05:45,6.88,6.25,38,1.3,4.22,0.73,4.0,91%,2.0,Synthetic,,,,,,47.0,42ms - 52ms,44.0,24.0,55.0,20.0
2026-02-17,True,23:02,06:34,7.54,7.04,30,1.44,4.65,0.95,1.0,93%,4.0,Synthetic,,,,,,42.0,37ms - 47ms,42.0,38.0,59.0,22.0
2026-02-18,True,22:30,06:28,7.98,7.21,46,1.47,4.46,1.29,2.0,90%,8.0,Synthetic,False,12:48,13:06,18.0,Synthetic,51.0,46ms - 56ms,43.0,34.0,58.0,18.0
2026-02-19,True,23:25,06:45,7.33,6.48,51,1.42,4.38,0.68,1.0,88%,4.0,Synthetic,,,,,,45.0,40ms - 50ms,42.0,35.0,55.0,16.0
2026-02-20,True,23:48,07:18,7.5,6.78,43,1.35,4.41,1.02,2.0,90%,9.0,Synthetic,False,13:08,13:35,27.0,Synthetic,50.0,45ms - 55ms,44.0,34.0,56.0,22.0
2026-02-21,True,23:57,06:15,6.31,6.07,14,1.23,3.94,0.9,2.0,96%,2.0,Synthetic,,,,,,55.0,50ms - 60ms,46.0,26.0,46.0,14.0
2026-02-22,True,23:07,06:38,7.51,6.83,41,1.55,3.98,1.3,4.0,91%,27.0,Synthetic,,,,,,63.0,58ms - 68ms,50.0,26.0,50.0,9.0
2026-02-23,True,23:20,07:24,8.07,7.67,24,1.37,4.93,1.37,1.0,95%,22.0,Synthetic,,,,,,63.0,58ms - 68ms,53.0,22.0,47.0,2.0
2026-02-24,True,22:55,06:14,7.33,7.05,17,1.65,4.07,1.33,3.0,96%,12.0,Synthetic,,,,,,69.0,64ms - 74ms,57.0,25.0,47.0,9.0
2026-02-25,True,23:18,07:16,7.97,7.45,31,1.02,5.08,1.34,3.0,94%,51.0,Synthetic,,,,,,51.0,46ms - 56ms,57.0,25.0,53.0,17.0
2026-02-26,True,23:11,07:25,8.23,7.93,18,1.39,4.99,1.55,1.0,96%,94.0,Synthetic,,,,,,48.0,43ms - 53ms,57.0,34.0,53.0,24.0
2026-02-27,True,23:02,06:01,6.98,6.62,22,1.47,4.04,1.11,2.0,95%,10.0,Synthetic,,,,,,48.0,43ms - 53ms,57.0,27.0,47.0,14.0
2026-02-28,True,23:05,06:20,7.26,6.83,26,1.53,4.07,1.22,2.0,94%,50.0,Synthetic,,,,,,63.0,58ms - 68ms,58.0,28.0,53.0,10.0
2026-03-01,True,23:16,07:04,7.8,6.85,57,1.18,4.76,0.92,5.0,88%,10.0,Synthetic,,,,,,49.0,44ms - 54ms,56.0,32.0,53.0,12.0
2026-03-02,True,22:50,06:58,8.15,7.61,32,1.43,4.79,1.39,1.0,93%,30.0,Synthetic,,,,,,47.0,42ms - 52ms,54.0,30.0,56.0,18.0
2026-03-03,True,22:52,06:05,7.22,6.49,44,1.55,3.93,1.0,1.0,90%,32.0,Synthetic,False,13:13,14:04,51.0,Synthetic,56.0,51ms - 61ms,52.0,23.0,50.0,7.0
2026-03-04,True,00:00,08:17,8.29,8.16,8,1.92,4.71,1.53,2.0,98%,8.0,Synthetic,,,,,,70.0,65ms - 75ms,54.0,17.0,46.0,9.0
2026-03-05,True,00:35,10:01,9.44,9.32,7,2.77,4.61,1.94,0.0,99%,20.0,Synthetic,,,,,,83.0,78ms - 88ms,59.0,22.0,42.0,7.0
2026-03-06,True,22:18,05:37,7.32,7.0,19,1.63,4.24,1.13,0.0,96%,9.0,Synthetic,False,11:22,12:02,40.0,Synthetic,56.0,51ms - 61ms,61.0,16.0,49.0,11.0
2026-03-07,True,22:16,05:46,7.5,6.86,38,1.59,4.02,1.26,3.0,92%,26.0,Synthetic,,,,,,56.0,51ms - 61ms,60.0,22.0,51.0,11.0
2026-03-08,True,22:26,05:37,7.17,6.57,36,1.54,3.86,1.17,2.0,92%,10.0,Synthetic,False,13:03,13:23,20.0,Synthetic,45.0,40ms - 50ms,59.0,28.0,55.0,19.0
2026-03-09,True,22:56,05:46,6.83,6.4,26,1.25,4.1,1.04,3.0,94%,3.0,Synthetic,,,,,,36.0,31ms - 41ms,57.0,30.0,53.0,18.0
2026-03-10,True,23:31,07:10,7.65,7.26,23,1.32,4.94,1.0,0.0,95%,32.0,Synthetic,False,11:34,11:56,22.0,Synthetic,53.0,48ms - 58ms,57.0,36.0,51.0,12.0
2026-03-11,True,23:21,07:14,7.89,7.54,21,1.66,4.55,1.33,0.0,96%,26.0,Synthetic,False,12:41,12:58,17.0,Synthetic,56.0,51ms - 61ms,55.0,18.0,49.0,19.0
2026-03-12,True,23:06,05:42,6.6,6.25,21,1.29,3.81,1.14,2.0,95%,31.0,Synthetic,,,,,,54.0,49ms - 59ms,51.0,24.0,53.0,13.0
2026-03-13,True,23:19,07:07,7.8,7.04,46,1.2,4.93,0.91,1.0,90%,24.0,Synthetic,,,,,,57.0,52ms - 62ms,51.0,22.0,54.0,19.0
2026-03-14,True,22:36,05:15,6.66,5.79,52,0.96,4.14,0.69,5.0,87%,31.0,Synthetic,,,,,,33.0,28ms - 38ms,48.0,36.0,62.0,12.0
2026-03-15,True,22:51,07:05,8.22,6.87,81,1.13,4.62,1.12,3.0,84%,4.0,Synthetic,,,,,,37.0,32ms - 42ms,47.0,28.0,58.0,25.0
2026-03-16,True,22:59,05:25,6.42,5.84,35,1.16,3.81,0.87,4.0,91%,27.0,Synthetic,False,15:28,15:49,21.0,Synthetic,36.0,31ms - 41ms,47.0,42.0,58.0,27.0
2026-03-17,True,22:05,04:57,6.87,5.92,57,1.06,3.95,0.91,2.0,86%,5.0,Synthetic,,,,,,41.0,36ms - 46ms,45.0,51.0,59.0,21.0
2026-03-18,True,22:19,05:25,7.09,6.38,43,1.07,4.16,1.14,4.0,90%,18.0,Synthetic,,,,,,34.0,29ms - 39ms,42.0,36.0,61.0,23.0
2026-03-19,True,22:21,05:49,7.48,6.73,45,1.22,4.44,1.07,5.0,90%,19.0,Synthetic,False,13:38,14:25,47.0,Synthetic,38.0,33ms - 43ms,39.0,27.0,59.0,21.0
2026-03-20,True,23:27,06:36,7.16,6.11,63,1.05,4.14,0.92,1.0,85%,8.0,Synthetic,,,,,,37.0,32ms - 42ms,37.0,46.0,66.0,20.0
2026-03-21,True,23:09,04:42,5.56,4.93,38,0.88,3.08,0.97,2.0,89%,19.0,Synthetic,,,,,,30.0,25ms - 35ms,36.0,40.0,62.0,26.0
2026-03-22,True,23:21,07:14,7.87,7.19,41,1.32,4.7,1.17,1.0,91%,27.0,Synthetic,,,,,,41.0,36ms - 46ms,37.0,34.0,54.0,12.0
2026-03-23,True,21:56,05:08,7.21,6.02,71,0.97,4.22,0.83,1.0,84%,14.0,Synthetic,,,,,,37.0,32ms - 42ms,37.0,32.0,59.0,16.0
2026-03-24,True,22:08,05:17,7.15,6.35,48,1.3,4.07,0.98,4.0,89%,3.0,Synthetic,,,,,,44.0,39ms - 49ms,37.0,34.0,59.0,25.0
2026-03-25,True,23:23,06:33,7.16,6.58,35,1.35,4.04,1.19,5.0,92%,6.0,Synthetic,,,,,,56.0,51ms - 61ms,40.0,24.0,51.0,17.0
2026-03-26,True,21:23,06:15,8.88,8.53,21,1.96,4.9,1.67,0.0,96%,28.0,Synthetic,,,,,,69.0,64ms - 74ms,45.0,14.0,40.0,2.0
2026-03-27,True,23:43,07:15,7.53,7.13,24,1.67,4.3,1.17,0.0,95%,12.0,Synthetic,,,,,,58.0,53ms - 63ms,48.0,20.0,49.0,8.0
2026-03-28,True,21:56,05:01,7.07,6.66,25,1.5,3.72,1.43,3.0,94%,9.0,Synthetic,False,13:09,13:46,37.0,Synthetic,54.0,49ms - 59ms,51.0,22.0,49.0,10.0
2026-03-29,True,23:30,07:13,7.73,7.65,5,1.44,4.82,1.39,0.0,99%,45.0,Synthetic,False,14:11,14:24,13.0,Synthetic,59.0,54ms - 64ms,54.0,22.0,47.0,15.0
2026-03-30,True,22:29,06:56,8.45,8.05,24,1.97,4.61,1.46,1.0,95%,10.0,Synthetic,,,,,,60.0,55ms - 65ms,57.0,9.0,45.0,4.0
2026-03-31,True,23:37,07:07,7.51,7.02,29,1.64,4.04,1.34,1.0,94%,65.0,Synthetic,,,,,,52.0,47ms - 57ms,58.0,25.0,49.0,14.0
2026-04-01,True,00:52,09:02,8.16,7.8,22,1.71,4.77,1.32,1.0,96%,22.0,Synthetic,,,,,,54.0,49ms - 59ms,58.0,17.0,54.0,17.0
2026-04-02,True,21:40,05:24,7.72,7.24,29,1.7,4.27,1.27,2.0,94%,39.0,Synthetic,,,,,,57.0,52ms - 62ms,56.0,20.0,52.0,11.0
2026-04-03,True,23:24,07:15,7.84,7.52,19,1.48,4.61,1.43,1.0,96%,11.0,Synthetic,,,,,,61.0,56ms - 66ms,57.0,25.0,48.0,15.0
2026-04-04,True,21:57,05:44,7.79,7.36,26,1.63,4.6,1.12,2.0,94%,33.0,Synthetic,,,,,,49.0,44ms - 54ms,56.0,26.0,51.0,12.0
2026-04-05,True,23:15,06:48,7.55,6.86,41,1.41,4.24,1.22,2.0,91%,6.0,Synthetic,,,,,,54.0,49ms - 59ms,55.0,28.0,48.0,13.0
2026-04-06,True,22:53,06:11,7.3,6.8,30,1.23,4.28,1.29,0.0,93%,7.0,Synthetic,,,,,,48.0,43ms - 53ms,54.0,32.0,55.0,14.0
2026-04-07,True,23:05,06:26,7.36,6.41,57,1.37,3.97,1.07,1.0,87%,25.0,Synthetic,False,14:58,15:17,19.0,Synthetic,47.0,42ms - 52ms,53.0,38.0,57.0,21.0
2026-04-08,True,22:28,05:25,6.94,6.49,27,1.49,4.02,0.98,0.0,94%,3.0,Synthetic,False,11:47,12:58,71.0,Synthetic,46.0,41ms - 51ms,52.0,36.0,58.0,14.0
2026-04-09,True,23:27,07:29,8.03,7.51,31,1.79,4.55,1.17,3.0,94%,9.0,Synthetic,,,,,,48.0,43ms - 53ms,50.0,31.0,53.0,17.0
2026-04-10,True,22:09,05:32,7.37,6.27,66,1.43,3.88,0.96,2.0,85%,22.0,Synthetic,False,15:02,15:14,12.0,Synthetic,43.0,38ms - 48ms,48.0,35.0,58.0,16.0
2026-04-11,True,23:43,06:30,6.78,5.95,50,1.22,3.76,0.97,0.0,88%,53.0,Synthetic,,,,,,51.0,46ms - 56ms,48.0,31.0,50.0,10.0
2026-04-12,True,22:46,07:25,8.66,8.18,29,1.87,4.88,1.42,2.0,94%,5.0,Synthetic,,,,,,63.0,58ms - 68ms,49.0,19.0,47.0,9.0
2026-04-13,True,22:11,07:01,8.84,8.55,17,2.01,4.91,1.64,3.0,97%,34.0,Synthetic,,,,,,57.0,52ms - 62ms,51.0,15.0,53.0,17.0
2026-04-14,True,23:56,07:33,7.62,7.27,21,1.64,4.53,1.1,3.0,95%,14.0,Synthetic,,,,,,54.0,49ms - 59ms,52.0,24.0,55.0,12.0
2026-04-15,True,22:58,05:57,7.0,6.5,30,1.45,3.79,1.26,1.0,93%,83.0,Synthetic,,,,,,54.0,49ms - 59ms,53.0,25.0,52.0,8.0
2026-04-16,True,00:07,07:47,7.66,7.15,31,1.67,4.27,1.21,1.0,93%,41.0,Synthetic,False,14:28,14:53,25.0,Synthetic,56.0,51ms - 61ms,54.0,29.0,52.0,14.0
2026-04-17,True,23:43,07:09,7.44,6.82,37,1.39,4.26,1.18,1.0,92%,16.0,Synthetic,,,,,,48.0,43ms - 53ms,55.0,23.0,49.0,15.0
2026-04-18,True,22:32,06:08,7.6,7.03,34,1.37,4.6,1.06,1.0,93%,29.0,Synthetic,False,14:50,15:02,12.0,Synthetic,54.0,49ms - 59ms,55.0,21.0,48.0,28.0
2026-04-19,True,22:57,06:04,7.12,6.57,33,1.31,3.99,1.27,0.0,92%,1.0,Synthetic,,,,,,54.0,49ms - 59ms,54.0,29.0,54.0,15.0
2026-04-20,True,23:04,07:19,8.25,8.16,5,2.05,4.4,1.72,0.0,99%,37.0,Synthetic,False,15:51,16:20,29.0,Synthetic,69.0,64ms - 74ms,56.0,15.0,46.0,7.0
2026-04-21,True,23:53,08:29,8.6,8.52,5,2.15,4.52,1.84,0.0,99%,7.0,Synthetic,False,14:12,14:33,21.0,Synthetic,77.0,72ms - 82ms,59.0,3.0,42.0,11.0
2026-04-22,True,23:15,07:05,7.82,7.41,25,1.87,4.26,1.27,2.0,95%,28.0,Synthetic,False,16:07,16:35,28.0,Synthetic,72.0,67ms - 77ms,61.0,15.0,46.0,1.0
2026-04-23,True,23:06,07:04,7.97,7.8,10,1.85,4.44,1.51,0.0,98%,16.0,Synthetic,,,,,,55.0,50ms - 60ms,61.0,12.0,50.0,12.0
2026-04-24,True,22:53,07:20,8.46,7.86,36,1.55,4.96,1.35,2.0,93%,8.0,Synthetic,False,11:06,11:41,35.0,Synthetic,46.0,41ms - 51ms,61.0,23.0,57.0,23.0
2026-04-25,True,22:58,06:48,7.83,7.53,18,1.79,4.58,1.16,3.0,96%,49.0,Synthetic,,,,,,57.0,52ms - 62ms,61.0,28.0,51.0,11.0
2026-04-26,True,23:46,07:32,7.78,7.3,29,1.68,4.31,1.31,2.0,94%,0.0,Synthetic,,,,,,56.0,51ms - 61ms,62.0,31.0,54.0,5.0
2026-04-27,True,23:00,06:49,7.82,7.47,21,1.5,4.57,1.4,0.0,96%,10.0,Synthetic,,,,,,55.0,50ms - 60ms,60.0,14.0,50.0,9.0
2026-04-28,True,22:46,06:47,8.01,6.99,61,1.59,4.22,1.18,1.0,87%,8.0,Synthetic,,,,,,44.0,39ms - 49ms,55.0,29.0,55.0,23.0
2026-04-29,True,22:40,05:44,7.07,6.42,39,1.3,3.99,1.13,1.0,91%,5.0,Synthetic,False,14:55,15:07,12.0,Synthetic,52.0,47ms - 57ms,52.0,25.0,55.0,15.0
2026-04-30,True,22:41,06:20,7.65,7.42,14,1.38,4.7,1.35,2.0,97%,17.0,Synthetic,,,,,,53.0,48ms - 58ms,52.0,32.0,49.0,9.0
2026-05-01,True,22:11,05:40,7.48,6.66,49,1.18,4.22,1.26,2.0,89%,17.0,Synthetic,,,,,,46.0,41ms - 51ms,52.0,27.0,62.0,13.0
2026-05-02,True,22:34,06:41,8.13,7.56,34,1.33,4.87,1.36,1.0,93%,15.0,Synthetic,,,,,,51.0,46ms - 56ms,51.0,28.0,57.0,14.0
2026-05-03,True,23:52,07:15,7.38,6.87,31,1.41,4.66,0.79,5.0,93%,21.0,Synthetic,,,,,,50.0,45ms - 55ms,50.0,36.0,55.0,17.0
2026-05-04,True,22:53,07:20,8.45,7.76,41,1.56,4.94,1.26,3.0,92%,6.0,Synthetic,,,,,,60.0,55ms - 65ms,51.0,25.0,55.0,20.0
2026-05-05,True,23:25,06:23,6.98,6.43,33,1.26,4.13,1.04,1.0,92%,58.0,Synthetic,,,,,,50.0,45ms - 55ms,52.0,32.0,59.0,19.0
2026-05-06,True,21:33,05:34,8.02,7.2,49,1.56,4.66,0.98,1.0,90%,1.0,Synthetic,False,10:37,11:29,52.0,Synthetic,48.0,43ms - 53ms,51.0,21.0,56.0,17.0
2026-05-07,True,23:20,06:52,7.53,7.03,30,1.47,4.39,1.17,3.0,93%,49.0,Synthetic,,,,,,49.0,44ms - 54ms,51.0,28.0,51.0,10.0
2026-05-08,True,22:54,06:02,7.12,6.62,30,1.42,3.94,1.26,2.0,93%,1.0,Synthetic,False,14:03,14:21,18.0,Synthetic,52.0,47ms - 57ms,51.0,19.0,57.0,9.0
2026-05-09,True,22:43,06:41,7.96,7.69,16,1.82,4.59,1.29,1.0,97%,8.0,Synthetic,,,,,,62.0,57ms - 67ms,53.0,14.0,48.0,12.0
2026-05-10,True,23:06,06:48,7.7,7.0,42,1.4,4.49,1.11,4.0,91%,12.0,Synthetic,,,,,,50.0,45ms - 55ms,53.0,38.0,58.0,13.0
